 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8555517157414 ;ES ;SERRA ;JARDIM ATLANTICO ;RUA SANTA LUZIA, N. SN, Apto 104, TORRE 02 ;256.218,85;217.000,00;0.00;Apartamento, 0.00 de área total, 62.24 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555517157414
 8787703862603 ;ES ;SERRA ;RESIDENCIAL CENTRO DA SERRA ;AVENIDA PAU BRASIL, N. 321, Apto 206, TORRE B ;176.257,90;148.000,00;0.00;Apartamento, 0.00 de área total, 45.66 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703862603
 8787705994728 ;ES ;SERRA ;JARDIM LIMOEIRO ;RUA CASTRO ALVES, N. 237, Apto 412, TORRE C ;207.432,00;160.000,00;0.00;Apartamento, 0.00 de área total, 51.32 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705994728
 10188447 ;ES ;SERRA ;COLINA DE LARANJEIRAS ;AVENIDA ELDES SCHERRER SOUZA, N. 2230, SL 307, LT A3A ;245.000,00;175.000,00;0.00;Sala, 0.00 de área total, 36.75 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10188447
 8555518680994 ;ES ;SERRA ;MORADA DE LARANJEIRAS ;RUA MINAS GERAIS, N. 166, Apto 302, BL12 STA2 ;141.254,88;97.000,00;0.00;Apartamento, 0.00 de área total, 43.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518680994
 8444413406602 ;ES ;SERRA ;CASCATA ;RUA DOS CACTOS, N. SN, LT 32 QD 13 ;155.210,78;70.800,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413406602
 8444420614894 ;ES ;VIANA ;MORADA BETHANIA ;RUA VITORIA, N. S/N, QD O, LT 05, CS A ;65.949,80;119.000,00;44.58;Casa, 0.00 de área total, 49.22 de área privativa, 100.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420614894
 8444400323541 ;ES ;VIANA ;JUCU ;RUA NOVE, N. 0, LT 14 QD 09 ;88.800,00;148.000,00;40.00;Casa, 0.00 de área total, 50.00 de área privativa, 300.00 de área do terreno, a.serv.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400323541
 8787702615238 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. SN, Apto 401, BLC 15 4 PAV ;107.277,28;140.000,00;23.38;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702615238
 8444425703925 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 281, Apto 301, BL09 3PAV ;165.000,00;165.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425703925
 8555539762213 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 281, Apto 301, BL 02 ;150.000,00;150.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539762213
 8787701165298 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. SN, Apto 104, BL12 1PAV ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701165298
 8787706106141 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 181, Apto 402, BL 10 ;140.000,00;140.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706106141
